鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
中山區,房地(土地+建物),基隆市中山區中華路１４３號,17.3,住,,,1131217,土地1建物1車位0,一層，防空避難室，騎樓,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0691105,49.0,0,0,0,無,無,3200000,65306,,0.0,0,廚房外推增建其他增建；,RPUNMLOKKHKGFDC08DA,49.0,0.0,0.0,無,
信義區,房地(土地+建物)+車位,基隆市信義區褔民街７８號,54.69,住,,,1131225,土地1建物1車位1,一層，二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120502,200.70999999999998,4,2,3,有,有,12800000,63770,坡道平面,36.73,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLRKKHKGFDC28DA,107.3,0.0,12.77,有,22
安樂區,房地(土地+建物)+車位,基隆市安樂區樂利三街８巷６號１０樓,22.79,住,,,1131218,土地4建物1車位1,十層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840504,153.4,3,2,2,有,有,10580000,68970,坡道平面,0.0,0,陽台外推；,RPUNMLSKKHKGFDC48DA,99.83,1.19,12.57,有,
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路３４１號１８樓,24.5,住,,,1131222,土地3建物1車位1,十八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050124,231.37,4,2,2,有,有,23600000,102001,坡道平面,15.87,0,,RPVOMLKMKIJGFDC08DA,124.11,4.39,23.46,有,23
信義區,車位,基隆市信義區義六路２０號,1.04,商,,,1131224,土地2建物1車位2,一層,十八層,其他,辦公室,鋼筋混凝土造,1020722,21.04,0,0,0,無,有,3000000,,坡道機械,21.0,3000000,其他增建；僅車位交易；,RPUNMLOLJHKGFDC08DA,0.0,0.0,0.0,有,24
中正區,房地(土地+建物),基隆市中正區觀海街４８號,17.75,住,,,1131230,土地1建物1車位0,一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,95.34,2,2,2,有,有,5270000,55276,,0.0,0,,RPQNMLNKKHKGFDC57DA,63.53,0.0,8.94,有,25
仁愛區,房地(土地+建物),基隆市仁愛區復興街６巷４６之２號,34.0,住,,,1131225,土地3建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661116,79.7,2,1,1,有,無,6000000,75282,,0.0,0,陽台外推；,RPWNMLRKKHKGFDC58DA,71.08,0.0,8.62,無,26
信義區,房地(土地+建物)+車位,基隆市信義區深溪路５７號３樓之１,31.13,住,,,1131228,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880122,154.48000000000002,4,2,2,有,有,11300000,73149,坡道平面,0.0,0,,RPROMLTKKHKGFDC38DA,88.23,0.0,8.7,有,
中正區,房地(土地+建物),基隆市中正區和豐街２４３號八樓,22.11,住,,,1131215,土地1建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130716,109.27,3,2,1,有,有,8300000,75959,,0.0,0,,RPSOMLPKJHKGFDC97DA,62.07,5.43,5.6,有,27
信義區,房地(土地+建物),基隆市信義區深澳坑路１６８巷５０弄１６號３樓,23.44,住,,,1131213,土地1建物1車位0,三層，夾層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840610,78.11999999999999,2,2,2,有,無,2150000,27522,,0.0,0,,RPXOMLNKKHKGFDC38DA,64.5,0.0,6.88,無,28
中正區,房地(土地+建物)+車位,基隆市中正區調和街２９６號七樓之２,26.58,住,,,1131221,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080212,124.58000000000001,2,2,1,有,有,8680000,69674,坡道平面,17.88,0,,RPOOMLRKKHKGFDC87DA,62.06,5.13,7.32,有,29
