鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
北投區,房地(土地+建物)+車位,臺北市北投區福真路,33.36,住,,,1140126,土地1建物1車位2,十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,239.09,4,2,2,有,無,85530000,423531,坡道平面,52.02,6300000,,RPROMLPJKHKGFEA77CB,遠雄泱玥,A05棟F13號,
北投區,房地(土地+建物)+車位,臺北市北投區福真路,43.63,住,,,1140127,土地1建物1車位2,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,296.67,4,2,3,有,無,112580000,431555,坡道平面,52.02,7000000,,RPSOMLPJKHKGFEA87CB,遠雄泱玥,A05棟F20號,
大安區,房地(土地+建物)+車位,臺北市大安區忠孝東路三段10巷,14.55,住,,,1140124,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.05,2,2,2,有,無,56300000,514297,升降平面,29.58,3600000,,RPPNMLPJKHKGFFA57CB,真?和光,10F-A2號,
大同區,房地(土地+建物),臺北市大同區建功里重慶北路一段,4.11,商,,,1140124,土地18建物1車位0,二層,19,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,57.27,0,0,0,無,無,17390000,303649,,0.0,0,一般事務所,RPPNMLQJKHKGFBA27CB,宏道一品,D-02F號,
大同區,房地(土地+建物),臺北市大同區建功里重慶北路一段,4.68,商,,,1140125,土地18建物1車位0,九層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,65.21,2,1,1,有,無,27080000,415274,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLQJKHKGFBA47CB,宏道一品,G-09F號,
大同區,房地(土地+建物)+車位,臺北市大同區建功里重慶北路一段,6.42,商,,,1140121,土地18建物1車位1,三層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.4,2,2,2,有,無,36250000,377053,其他,29.89,2500000,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLQJKHKGFBA57CB,宏道一品,F-03F號,
大同區,房地(土地+建物),臺北市大同區建功里重慶北路一段,4.36,商,,,1140126,土地18建物1車位0,六層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,60.77,1,1,1,有,無,26660000,438703,,0.0,0,,RPTNMLQJKHKGFBA67CB,宏道一品,B-06F號,
大安區,房地(土地+建物)+車位,臺北市大安區信義路四段408號,18.04,商,,,1140121,土地19建物1車位1,二十九層,31,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,228.96,3,2,2,有,無,128180000,640265,坡道平面,35.79,4500000,雨遮計坪不計價,RPPNMLQJKHKGFFA67CB,吾雙,A棟A2-29F號,
大安區,房地(土地+建物)+車位,臺北市大安區信義路四段408號,18.04,商,,,1140121,土地19建物1車位1,二十層,31,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,230.73,3,2,2,有,無,125300000,617113,坡道平面,35.79,5000000,雨遮計坪不計價,RPQNMLQJKHKGFFA77CB,吾雙,A棟A3-20F號,
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段691號,7.7,商,,,1140121,土地8建物1車位1,十二層,30,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,93.7,2,1,1,有,無,33880000,391432,坡道機械,12.0,1900000,,RPPNMLRJKHKGFCA47CB,碧湖雲景,B5-12F號,
中山區,房地(土地+建物)+車位,臺北市中山區中吉里四平街37號,17.6,住,,,1140122,土地3建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,117.34,2,1,2,有,無,46200000,441356,其他,18.78,2700000,,RPQNMLRJKHKGFCA57CB,松江.桓?,A6-6F號,
南港區,房地(土地+建物)+車位,臺北市南港區西新里松河街,6.84,其他,,,1140125,土地1建物1車位1,九層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,97.78,2,2,1,有,無,31050000,398311,坡道平面,26.73,2750000,,RPPNMLRJKHKGFDA57CB,東方大境,A棟A5-9號,
南港區,房地(土地+建物)+車位,臺北市南港區西新里松河街,11.02,其他,,,1140126,土地1建物1車位1,十層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,141.03,3,2,2,有,無,42400000,340332,坡道平面,26.73,3500000,,RPRNMLRJKHKGFDA77CB,東方大境,B棟B1-10號,
南港區,房地(土地+建物),臺北市南港區西新里松河街,11.02,其他,,,1140123,土地1建物1車位0,八層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,114.3,3,2,2,有,無,38700000,338583,,0.0,0,,RPSNMLRJKHKGFDA87CB,東方大境,B棟B1-8號,
南港區,房地(土地+建物),臺北市南港區西新里松河街,6.2,其他,,,1140126,土地1建物1車位0,三層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,64.26,2,2,1,有,無,24670000,383909,,0.0,0,,RPTNMLRJKHKGFDA97CB,東方大境,B棟B2-3號,
