編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSPMLOKKHKGFBH48CC,12,51.90,本共有部分之項目有：防空避難室、停車空間、樓梯間、車道、垃圾暫存區、風機、雨水機房、污水機房、水箱、公共服務空間、開放空間、門廳、台電配電室、水池過濾槽、電信設備室、發電機室及消防室等１７項。,鋼筋混凝土造,102年1月15日,十三層,,
RPPQMLOKKHKGFBH28CC,2,50.72,集合住宅,鋼筋混凝土造,112年5月26日,十一層,,
RPPQMLOKKHKGFBH28CC,2,13.89,本共有部分之項目有：管委會使用空間、消防水箱、樓梯間、水箱、電梯機房、梯廳、車道等七項,鋼筋混凝土造,112年5月26日,十一層,,
RPPQMLOKKHKGFBH28CC,2,40.70,本共有部分之項目有：防空避難室兼停車空間、水箱、機房、停車空間、台電配電室、電信機房、緊急發電機房、台電受電箱、汙水機房及消防機房等十項,鋼筋混凝土造,112年5月26日,十一層,,
RPRQMLOKKHKGFBH48CC,36,17.00,住家用,鋼筋混凝土造,77年9月7日,五層,,
RPSNMLPKKHKGFBH38CC,11,29.61,一般事務所、運動休閒設施,鋼筋混凝土造,102年12月13日,十一層,,
RPSNMLPKKHKGFBH38CC,11,32.45,本共有部分之項目有：停車空間、防空避難室兼停車空間、機械室、管委會使用空間、樓梯間、水箱、車道、排煙室、梯廳、污水機房、台電受電室、法定防空避難室、發電機室、電錶室、電信室、管委會辦公室、垃圾貯存空間兼資源回收室、走廊、陽台、雨遮、蓄水池、水塔等共二十二項,鋼筋混凝土造,102年12月13日,十一層,,
RPPNMLPKKHKGFFH48CC,8,287.48,飲食店、住宅,鋼骨造,105年8月10日,二層,,
RPPNMLQKKHKGFAH08CC,11,153.54,住家用,鋼筋混凝土造,102年10月25日,十四層,,
RPPNMLQKKHKGFAH08CC,11,127.34,本共有部分之項目有附屬（停車空間、防空避難室兼停車空間、管理員室、樓電梯間、樓梯間、機械房、水箱）等７項。,鋼筋混凝土造,102年10月25日,十四層,,
RPQNMLRKKHKGFAH28CC,44,50.46,住家用,鋼筋混凝土造,69年11月8日,四層,,
RPVNMLRKKHKGFAH78CC,17,36.44,住家用,鋼筋混凝土造,97年4月24日,十二層,,
RPVNMLRKKHKGFAH78CC,17,49.81,共有部分,鋼筋混凝土造,97年4月24日,十三層,,
RPRNMLRKKHKGFAH38CC,13,83.67,住家用,鋼筋混凝土造,101年3月27日,十三層,,
RPRNMLRKKHKGFAH38CC,13,81.53,本共有部分之項目有附屬停車空間、蓄水池、消防泵浦室、污水機房、梯間、發電機房、防空避難室兼停車場、台電配電場所、機房、電信室、管理室、開放空間、公共服務空間、垃圾處理空間、管理委員會使用空間及水箱等１６項。,鋼筋混凝土造,101年3月27日,十三層,,
RPWNMLRKKHKGFAH88CC,22,78.78,住家用,鋼筋混凝土造,92年6月23日,十層,,
RPWNMLRKKHKGFAH88CC,22,25.79,共有部分,鋼筋混凝土造,92年6月23日,十層,,
RPRNMLRKKHKGFFH88CC,44,26.78,住家用,鋼筋混凝土造,69年10月2日,五層,,
RPQNMLRKKHKGFHH98CC,1,15.73,作業廠房,鋼筋混凝土造,112年8月14日,四層,,
