編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSOMLRKJHKGFAN98DA,,182.91,住宅、停車空間,鋼筋混凝土造,113年9月9日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLOLKHKGFGN56EA,22,140.85,住家用,鋼筋混凝土造,92年5月7日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLTKKHKGFHN96DA,,54.76,集合住宅,鋼筋混凝土造,113年11月12日,七層,五層 陽台,全筆移轉
RPPNMLTKKHKGFHN96DA,,28.22,本共有部分之項目有停車空間、機電空間、電信室,鋼筋混凝土造,113年11月12日,七層,,持分移轉
RPQNMLTKKHKGFHN07DA,,73.59,集合住宅,鋼筋混凝土造,113年11月12日,七層,六層 陽台,全筆移轉
RPQNMLTKKHKGFHN07DA,,43.76,本共有部分之項目有停車空間、機電空間、電信室,鋼筋混凝土造,113年11月12日,七層,,持分移轉
RPPNMLSJJIJGFAN58DA,64,98.56,住家用,鋼筋混凝土加強磚造,50年1月25日,二層,一層 二層 騎樓 見其他登記事項,全筆移轉
RPQOMLPJKHKGFBN68DA,,90.80,集合住宅,鋼筋混凝土造,113年10月24日,十層,四層 陽台,全筆移轉
RPQOMLPJKHKGFBN68DA,,106.43,本共有部分項目有：消防機房、雨污水機房、水箱、梯廳兼排煙室、停車空間、樓梯間、發電機房、電信室、台電配電室（一）、台電配電室（二）、排煙室、梯廳、車道、管委會使用空間、水錶室、電梯機房。,鋼筋混凝土造,113年10月24日,十層,,持分移轉
RPROMLPJKHKGFBN78DA,,85.18,集合住宅,鋼筋混凝土造,113年10月24日,十層,三層 陽台,全筆移轉
RPROMLPJKHKGFBN78DA,,71.60,本共有部分項目有：消防機房、雨污水機房、水箱、梯廳兼排煙室、停車空間、樓梯間、發電機房、電信室、台電配電室（一）、台電配電室（二）、排煙室、梯廳、車道、管委會使用空間、水錶室、電梯機房。,鋼筋混凝土造,113年10月24日,十層,,持分移轉
RPTNMLRKJHKGFAN98DA,,194.71,住宅、停車空間,鋼筋混凝土造,113年9月9日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPXNMLKLJIJGFFN66DA,,78.08,集合住宅,鋼筋混凝土造,113年8月1日,五層,二層 陽台,全筆移轉
RPXNMLKLJIJGFFN66DA,,30.67,本共有部分之項目有梯廳、管委會空間、停車空間、樓梯間、電信室、發電機室、台電配電室、汙水機房、升降機間、機械室、水箱等１１項,鋼筋混凝土造,113年8月1日,五層,,持分移轉
RPVSMLLKOHJGFBN96DA,,85.18,集合住宅,鋼筋混凝土造,113年10月24日,十層,八層 陽台,全筆移轉
